customer_id,rfm_recency_all_time,rfm_frequency_all_time,rfm_monetary_all_time,tenure_all_time,rfm_recency_30d,rfm_frequency_30d,rfm_monetary_30d,tenure_30d,rfm_recency_60d,rfm_frequency_60d,rfm_monetary_60d,tenure_60d,rfm_recency_90d,rfm_frequency_90d,rfm_monetary_90d,tenure_90d,slope_amount,slope_days_since_previous_transaction,slope_days_until_next_transaction,slope_customer_transaction_order,slope_days_since_first_transaction,min_amount,mean_amount,mode_amount,max_amount,q1_amount,q5_amount,q10_amount,q20_amount,q30_amount,q40_amount,q50_amount,q60_amount,q70_amount,q80_amount,q90_amount,q95_amount,q99_amount,min_days_since_previous_transaction,mean_days_since_previous_transaction,mode_days_since_previous_transaction,max_days_since_previous_transaction,q1_days_since_previous_transaction,q5_days_since_previous_transaction,q10_days_since_previous_transaction,q20_days_since_previous_transaction,q30_days_since_previous_transaction,q40_days_since_previous_transaction,q50_days_since_previous_transaction,q60_days_since_previous_transaction,q70_days_since_previous_transaction,q80_days_since_previous_transaction,q90_days_since_previous_transaction,q95_days_since_previous_transaction,q99_days_since_previous_transaction,min_days_until_next_transaction,mean_days_until_next_transaction,mode_days_until_next_transaction,max_days_until_next_transaction,q1_days_until_next_transaction,q5_days_until_next_transaction,q10_days_until_next_transaction,q20_days_until_next_transaction,q30_days_until_next_transaction,q40_days_until_next_transaction,q50_days_until_next_transaction,q60_days_until_next_transaction,q70_days_until_next_transaction,q80_days_until_next_transaction,q90_days_until_next_transaction,q95_days_until_next_transaction,q99_days_until_next_transaction,min_customer_transaction_order,mean_customer_transaction_order,mode_customer_transaction_order,max_customer_transaction_order,q1_customer_transaction_order,q5_customer_transaction_order,q10_customer_transaction_order,q20_customer_transaction_order,q30_customer_transaction_order,q40_customer_transaction_order,q50_customer_transaction_order,q60_customer_transaction_order,q70_customer_transaction_order,q80_customer_transaction_order,q90_customer_transaction_order,q95_customer_transaction_order,q99_customer_transaction_order,min_days_since_first_transaction,mean_days_since_first_transaction,mode_days_since_first_transaction,max_days_since_first_transaction,q1_days_since_first_transaction,q5_days_since_first_transaction,q10_days_since_first_transaction,q20_days_since_first_transaction,q30_days_since_first_transaction,q40_days_since_first_transaction,q50_days_since_first_transaction,q60_days_since_first_transaction,q70_days_since_first_transaction,q80_days_since_first_transaction,q90_days_since_first_transaction,q95_days_since_first_transaction,q99_days_since_first_transaction
C02761,43.0,6.0,466.37,56.0,43.0,6.0,466.37,56.0,66.0,5.0,257.37,33.0,97.0,2.0,72.69,2.0,29.21,,21.999999999999996,0.9999999999999998,1.9999999999999996,21.74,36.345,21.74,50.95,22.0321,23.200499999999998,24.660999999999998,27.582,30.503,33.424,36.345,39.266,42.187,45.108000000000004,48.029,49.4895,50.657900000000005,,,,,,,,,,,,,,,,,,2.0,13.0,2.0,24.0,2.22,3.1,4.2,6.4,8.6,10.8,13.0,15.2,17.4,19.6,21.8,22.9,23.78,0.0,0.5,0.0,1.0,0.01,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.95,0.99,0.0,1.0,0.0,2.0,0.02,0.1,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,1.9,1.98
C00123,1.0,5.0,169.89,88.0,58.0,4.0,156.3,31.0,60.0,3.0,135.67000000000002,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01808,3.0,11.0,778.64,31.0,34.0,1.0,63.17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C02286,136.0,11.0,1263.07,64.0,136.0,11.0,1263.07,64.0,136.0,11.0,1263.07,64.0,136.0,11.0,1263.07,64.0,-3.311272727272722,-0.16969696969696849,-0.16969696969697018,1.0,4.918181818181819,6.87,114.82454545454544,6.87,300.69,7.024,7.640000000000001,8.41,9.13,68.89,71.49,123.9,144.27,146.87,179.51,203.04,251.865,290.925,1.0,6.4,1.0,19.0,1.0,1.0,1.0,1.0,1.6999999999999997,2.6,3.0,4.599999999999998,7.6,10.8,18.1,18.549999999999997,18.91,1.0,6.4,1.0,19.0,1.0,1.0,1.0,1.0,1.6999999999999997,2.6,3.0,4.599999999999998,7.6,10.8,18.1,18.549999999999997,18.91,0.0,5.0,0.0,10.0,0.1,0.5,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,9.5,9.9,0.0,33.27272727272727,0.0,64.0,1.8,9.0,18.0,19.0,28.0,31.0,34.0,41.0,42.0,44.0,45.0,54.5,62.10000000000001
C02147,203.0,23.0,2112.23,106.0,203.0,23.0,2112.23,106.0,203.0,23.0,2112.23,106.0,203.0,23.0,2112.23,106.0,-2.6310968379446638,0.22134387351778678,0.22134387351778664,1.0000000000000002,5.07707509881423,17.35,91.83608695652173,17.35,287.59,17.477600000000002,19.091,30.002,36.95,41.684,56.52200000000001,88.77,100.182,115.53999999999998,133.75,158.256,206.25699999999992,270.77540000000005,0.0,4.818181818181818,5.0,14.0,0.0,0.050000000000000044,1.0,1.2000000000000002,3.0,3.4000000000000004,5.0,5.0,5.0,7.0,9.0,11.849999999999998,13.579999999999998,0.0,4.818181818181818,5.0,14.0,0.0,0.050000000000000044,1.0,1.2000000000000002,3.0,3.4000000000000004,5.0,5.0,5.0,7.0,9.0,11.849999999999998,13.579999999999998,0.0,11.0,0.0,22.0,0.22,1.1,2.2,4.4,6.6,8.8,11.0,13.2,15.399999999999999,17.6,19.8,20.9,21.78,0.0,44.47826086956522,0.0,106.0,0.0,0.10000000000000009,1.6000000000000005,11.0,17.199999999999996,28.000000000000004,42.0,56.599999999999994,67.6,77.0,88.0,101.59999999999998,105.34
C00618,1.0,15.0,1064.54,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00406,262.0,1.0,14.99,0.0,262.0,1.0,14.99,0.0,262.0,1.0,14.99,0.0,262.0,1.0,14.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01157,53.0,3.0,322.86,5.0,53.0,3.0,322.86,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01068,2.0,24.0,1995.5900000000001,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01133,116.0,11.0,3340.29,216.0,116.0,11.0,3340.29,216.0,116.0,11.0,3340.29,216.0,116.0,11.0,3340.29,216.0,-5.224181818181824,2.787878787878787,2.787878787878788,1.0,18.463636363636365,49.28,303.6627272727273,49.28,742.12,50.459,55.175,61.07,64.65,140.74,141.32,238.97,351.39,436.24,494.38,620.13,681.125,729.921,5.0,21.6,6.0,55.0,5.09,5.45,5.9,6.0,8.1,10.8,13.0,18.399999999999995,27.7,37.2,50.5,52.74999999999999,54.55,5.0,21.6,6.0,55.0,5.09,5.45,5.9,6.0,8.1,10.8,13.0,18.399999999999995,27.7,37.2,50.5,52.74999999999999,54.55,0.0,5.0,0.0,10.0,0.1,0.5,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,9.5,9.9,0.0,87.0909090909091,0.0,216.0,0.9,4.5,9.0,34.0,68.0,73.0,85.0,91.0,105.0,111.0,166.0,191.0,211.00000000000003
